token,address,chain,blockscout_identity,blockscout_reason,blockscout_verified,blockscout_enhanced_name,blockscout_enhanced_tags,blockscout_enhanced_is_contract,blockscout_enhanced_verified,nansen_labels,nansen_categories,nansen_entity_match,sources_confirming,cross_validation_status
LPT,0xc20de37170b45774e6cd3d2304017fc962f27252,Arbitrum,Livepeer Minter,Protocol inflation reserve holding unminted tokens,Yes,Minter,,Yes,Yes,"High Activity; Token Millionaire",others,No,2/3,CONFIRMED — Blockscout verified contract name matches on both original and enhanced Blockscout
LPT,0xf977814e90da44bfa03b6295a0616a897441acec,Arbitrum,Binance 8 (exchange),Exchange custodian — customer deposits not governance votes,Yes (OLI tag),,Binance 8 (OLI),No (EOA),N/A,"Binance; Binance: Reserve Address; CEX; ETH Millionaire; Exchange","exchange; cefi; others",Yes,3/3,CONFIRMED — all three sources identify as Binance exchange address
GMX,0x908c4d94d34924765f1edc22a1dd098397c59dd4,Arbitrum,sGMX RewardTracker,Staking contract holding tokens on behalf of stakers,Yes,RewardTracker,token: Staked GMX (sGMX),Yes,Yes,"DEX; ERC20; Exchange; GMX; GMX: Staked Gmx Tracker; High Activity; Staked GMX; Token Contract; Token Millionaire; sGMX","defi; others",Yes,3/3,CONFIRMED — all three sources identify as GMX staking contract
RPL,0x3bdc69c4e5e13e52a65f5583c23efb9636b469d6,Ethereum,RocketVault,Rocket Pool protocol treasury vault,Yes,RocketVault,"Rocket Pool: Vault; Rocket Pool (protocol)",Yes,Yes,"ETH Millionaire; High Activity",others,No,2/3,CONFIRMED — Blockscout verified name + OLI protocol tag on enhanced Blockscout; Nansen behavioral only
ENS,0xd7a029db2585553978190db5e85ec724aa4df23f,Ethereum,TokenLock,Vesting lock contract (team/foundation allocation),Yes,TokenLock,,Yes,Yes,Token Millionaire,others,No,2/3,CONFIRMED — Blockscout verified contract name matches on both endpoints
WXM,0x93f1a412050bab0c317844361e4cc801ed5aca72,Arbitrum,WXM treasury/vesting (unverified),Unverified contract holding 74.8% of WXM supply — likely foundation/vesting,No,,No tags,Yes,No,High Balance,others,No,1/3,UNCONFIRMED — unverified contract on all sources; Nansen only shows behavioral label; identity relies on deployer analysis
DIMO,0xc97bf974d6d4bab6e0f7641b7b37ec5b70922ce5,Polygon,DIMO Foundation (unverified),Unverified Polygon contract holding 52.3% of DIMO — likely foundation treasury,No,,Enhanced Blockscout Polygon 500 error,Unknown,Unknown,Token Millionaire,others,No,1/3,UNCONFIRMED — Polygon Blockscout unavailable; Nansen behavioral only; identity relies on contract pattern analysis
POL,0x5e3ef299fddf15eaa0432e6e66473ace8c13d908,Ethereum,Polygon StakeManagerProxy,PoS validator staking contract — holds staked tokens for all validators,Yes,StakeManagerProxy,"Polygon (Matic): PoS Staking Contract; Polygon (Matic) protocol; proxy→StakeManager impl",Yes,Yes,"High Activity; Token Millionaire",others,No,2/3,CONFIRMED — Blockscout verified proxy contract + OLI protocol tag matches on both endpoints
POL,0x401f6c983ea34274ec46f84d70b31c151321188b,Ethereum,Polygon DepositManagerProxy,Plasma Bridge contract — holds bridged tokens in transit,Yes,DepositManagerProxy,"Polygon (Matic): Plasma Bridge; Layer 2; Bridge; Polygon (Matic) protocol (Kleros verified)",Yes,Yes,"High Activity; Token Millionaire",others,No,2/3,CONFIRMED — Blockscout verified proxy contract + Kleros-verified protocol tag on enhanced Blockscout
MPL_SYRUP,0x9c9499edd0cd2dcbc3c9dd5070baf54777ad8f2c,Ethereum,Syrup Migrator,MPL→SYRUP token migration contract holding unclaimed MPL,Yes,Migrator,"Syrup: Migrator (OLI); Syrup protocol",Yes,Yes,"High Activity; Token Millionaire",others,No,2/3,CONFIRMED — Blockscout verified name + OLI tag on enhanced Blockscout
MPL_SYRUP,0xc7e8b36e0766d9b04c93de68a9d47dd11f260b45,Ethereum,stSYRUP (xMPL),ERC-4626 staked SYRUP vault — holds SYRUP on behalf of depositors,Yes,xMPL,"Syrup.fi: stSYRUP Token; Token Contract; ERC-4626; DeFi; Syrup.fi protocol",Yes,Yes,"ERC20; High Activity; Staked Syrup; Token Contract; Token Millionaire; stSYRUP",others,Yes,3/3,CONFIRMED — all three sources identify as Syrup staking token contract
RENDER,0x3ee18b2214aff97000d974cf647e7c347e8fa585,Ethereum,Wormhole Token Bridge,Holds legacy Ethereum RNDR after migration to Solana — bridge custodian,Yes,,Wormhole: Token Bridge (Kleros); Bridge; Wormhole protocol; proxy=eip1967→BridgeImplementation,Yes,No (impl verified),"High Activity; NPC Whale; SPX Whale; TURBO Whale; Token Billionaire","behavioral; others",No,2/3,CONFIRMED — Blockscout original tag + Kleros-verified Wormhole tag on enhanced Blockscout; Nansen behavioral only
