token,address,identity,exclusion_reason,chain,hhi_before,hhi_after,source
JUP,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,CEX hot wallet on Solana (Class 5; 5197 SPL token balances; memecoin-dust + majo,"Sim API svm balances 2026-05-27; 5197 distinct SPL token balances including memecoins (PainPain, CUDIS, DeepepeAI, Anthropic-memecoin) + major assets;",Solana,0.095708,0.126008,Sim API svm balances verification 2026-05-27 (PID 4300)
HNT,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,CEX hot wallet on Solana (Class 5; 5197 SPL token balances; memecoin-dust + majo,"Sim API svm balances 2026-05-27; 5197 distinct SPL token balances including memecoins (PainPain, CUDIS, DeepepeAI, Anthropic-memecoin) + major assets;",Solana,0.074465,0.087431,Sim API svm balances verification 2026-05-27 (PID 4300)
GRASS,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,CEX hot wallet on Solana (Class 5; 5197 SPL token balances; memecoin-dust + majo,"Sim API svm balances 2026-05-27; 5197 distinct SPL token balances including memecoins (PainPain, CUDIS, DeepepeAI, Anthropic-memecoin) + major assets;",Solana,0.035201,0.036648,Sim API svm balances verification 2026-05-27 (PID 4300)
RENDER_SOL,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,CEX hot wallet on Solana (Class 5; 5197 SPL token balances; memecoin-dust + majo,"Sim API svm balances 2026-05-27; 5197 distinct SPL token balances including memecoins (PainPain, CUDIS, DeepepeAI, Anthropic-memecoin) + major assets;",Solana,0.070341,0.101453,Sim API svm balances verification 2026-05-27 (PID 4300)
JUP,6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,CEX hot wallet on Solana (Class 5; 1579 SPL token balances; memecoin dust + PYUS,Sim API svm balances 2026-05-27; 1579 distinct SPL tokens; PYUSD position + extreme memecoin diversity = CEX custody behavioral signature,Solana,0.095708,0.126008,Sim API svm balances verification 2026-05-27 (PID 4300)
HNT,6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,CEX hot wallet on Solana (Class 5; 1579 SPL token balances; memecoin dust + PYUS,Sim API svm balances 2026-05-27; 1579 distinct SPL tokens; PYUSD position + extreme memecoin diversity = CEX custody behavioral signature,Solana,0.074465,0.087431,Sim API svm balances verification 2026-05-27 (PID 4300)
RENDER_SOL,6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,CEX hot wallet on Solana (Class 5; 1579 SPL token balances; memecoin dust + PYUS,Sim API svm balances 2026-05-27; 1579 distinct SPL tokens; PYUSD position + extreme memecoin diversity = CEX custody behavioral signature,Solana,0.070341,0.101453,Sim API svm balances verification 2026-05-27 (PID 4300)
JUP,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,CEX hot wallet on Solana (Class 5; 3807 SPL token balances; PENGU + ANIME + meme,Sim API svm balances 2026-05-27; 3807 distinct SPL tokens; PENGU + ANIME + extreme memecoin diversity = CEX custody behavioral signature,Solana,0.095708,0.126008,Sim API svm balances verification 2026-05-27 (PID 4300)
RENDER_SOL,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,CEX hot wallet on Solana (Class 5; 3807 SPL token balances; PENGU + ANIME + meme,Sim API svm balances 2026-05-27; 3807 distinct SPL tokens; PENGU + ANIME + extreme memecoin diversity = CEX custody behavioral signature,Solana,0.070341,0.101453,Sim API svm balances verification 2026-05-27 (PID 4300)
W,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,CEX hot wallet on Solana (Class 5; 3807 SPL token balances; PENGU + ANIME + meme,Sim API svm balances 2026-05-27; 3807 distinct SPL tokens; PENGU + ANIME + extreme memecoin diversity = CEX custody behavioral signature,Solana,0.011532,0.011667,Sim API svm balances verification 2026-05-27 (PID 4300)
JUP,6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,CEX hot wallet on Solana (Class 5; 481 SPL token balances; major stablecoin cust,"Sim API svm balances 2026-05-27; 481 distinct tokens; $143M USDT + $38M USDC + $42M SOL + $11M RENDER + Backed Finance xStocks (MSTRx, QQQx, CRCLx) ho",Solana,0.095708,0.126008,Sim API svm balances verification 2026-05-27 (PID 4300)
