symbol,address,rank_in_top1000,share_top1000_pct,pca_class,label,confidence,source_doc,chain
FXS,0xc8418af6358ffdda74e09ca9cc3fe03ca6adc5b0,2,15.7449,3,veFXS (vote-escrowed FXS staking aggregation),CONFIRMED,Etherscan contract-source: Vyper_contract; matches Curve/CRV-style voting-escrow pattern; documented at docs.frax.finance,ethereum
FXS,0x4a6d155df9ec9a1bb3639e6b7b99e46fb68d42f6,17,0.4574,4,Fraxferry (Frax cross-chain bridge),CONFIRMED,Etherscan contract-source: Fraxferry; documented at docs.frax.finance/cross-chain-functionality,ethereum
FXS,0x000000000004444c5dc75cb358380d2e3de08a90,18,0.4467,5,Uniswap v4 PoolManager (DEX trading-protocol custody),CONFIRMED,Etherscan contract-source: PoolManager; vanity-leading-zeros address consistent with Uniswap v4 deployment (2025-Q2),ethereum
FXS,0x36cb65c1967a0fb0eee11569c51c2f2aa1ca6f6d,1,48.2807,4,Frax v3 migration / consolidation proxy (creator 0xe7c147cd1a7c05a6e73217645547582024e87a9b; first-acquired 2025-04-29; 52.48 percent of top-1000 share concentrated post-migration),TENTATIVE,Etherscan contract-source: Proxy; first_acquired aligns with Frax v3 launch April 2025; pattern consistent with Class 4 migration custody,ethereum
FXS,0xb1748c79709f4ba2dd82834b8c82d4a505003f27,12,0.6367,2,Frax Comptroller GnosisSafe (Foundation multisig),TENTATIVE,Etherscan contract-source: GnosisSafeProxy; address matches Frax public documentation reference for Comptroller multisig,ethereum
FXS,0x03b59bd1c8b9f6c265ba0c3421923b93f15036fa,7,1.7332,5,FraxswapPair (Frax-native DEX liquidity pool custody),CONFIRMED,Etherscan contract-source: FraxswapPair; native DEX liquidity,ethereum
SNX,0x5fd79d46eba7f351fe49bff9e87cdea6c821ef9f,2,9.4908,4,SynthetixBridgeEscrow (L1<->L2 bridge custody),CONFIRMED,Etherscan contract-source: SynthetixBridgeEscrow; documented at docs.synthetix.io,ethereum
SNX,0xf977814e90da44bfa03b6295a0616a897441acec,3,7.8430,5,Binance 8 (CEX custody),CONFIRMED,"Existing exclusions_log.csv precedent (LPT, OP, LDO, GMX rows); Etherscan public name tag",ethereum
SNX,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,8,1.2556,5,Coinbase 10 (CEX custody),CONFIRMED,Existing exclusions_log.csv precedent (AXL row); Etherscan public name tag,ethereum
SNX,0x28c6c06298d514db089934071355e5743bf21d60,14,0.7916,5,Binance 14 (CEX custody),CONFIRMED,Existing exclusions_log.csv precedent (LDO row); Etherscan public name tag,ethereum
SNX,0xffffffaeff0b96ea8e4f94b2253f31abdd875847,1,38.0677,4,Synthetix V3 Migrator / Treasury Council Migrator proxy (creator 0x302d2451d9f47620374b54c521423bf0403916a2; first-acquired 2023-07-07 aligns with V3 launch SIP-2043; 38.45 percent of top-1000 share),TENTATIVE,Etherscan contract-source: Proxy; first_acquired aligns with Synthetix V3 launch July 2023; pattern consistent with Class 4 migration custody for SNX -> V3 sUSD migration,ethereum
GNO,0x0000000000000000000000000000000000000000,2,31.6114,1,Null address (canonical burn destination),CONFIRMED,Universal burn-address sweep; 0x000...000 is canonical Ethereum burn destination,ethereum
GNO,0x88ad09518695c6c3712ac10a214be5109a655671,3,14.0477,4,Omnibridge EternalStorageProxy (Gnosis Chain <-> Ethereum bridge custody),CONFIRMED,Etherscan contract-source: EternalStorageProxy; documented at docs.gnosischain.com/bridges/tokenbridge/omnibridge,ethereum
GNO,0xec83f750adfe0e52a8b0dba6eeb6be5ba0bee535,1,38.6858,2,GnosisDAO Disbursement (Foundation treasury vesting),CONFIRMED,Etherscan contract-source: Disbursement; shares creator (0x12e9a5f7114ec981c37b1f5c4c63bcae8061760c) with GNO-5 Disbursement; consistent with GnosisDAO public treasury documentation,ethereum
GNO,0x604e4557e9020841f4e8eb98148de3d3cdea350c,5,3.6194,2,GnosisDAO Disbursement (Foundation treasury vesting),CONFIRMED,Etherscan contract-source: Disbursement; same creator (0x12e9a5f7114ec981c37b1f5c4c63bcae8061760c) as GNO-1; pattern: GnosisDAO disbursement factory,ethereum
