frame_token,rank,share,nansen_label,insider_reviewed,entity_type,confidence,reason,insider_resolved,resolved_entity,resolved_source,resolved_identity,insider_traced,traced_source
AAVE,1,0.0288,Binance: BSC-pegged Assets [0x47ac0f],False,exchange,high,"Binance BSC-pegged bridge/custody address; centralized exchange, not project-controlled.",False,exchange,v4_reviewed,,False,v4_resolved
AAVE,2,0.0244,,False,unlabeled,high,Empty Nansen label / bare address; unlabeled survivor treated as retail per rule.,False,retail,gapfill_resolved,EOA unlabeled,False,v4_resolved
AAVE,3,0.0231,Aave: Ecosystem Reserve [0x25f222],True,treasury,high,"Aave Ecosystem Reserve is a protocol-controlled treasury/reserve pool (ecosystem incentives, safety-module rewards); team-controlled insider.",True,treasury,v4_reviewed,,True,v4_resolved
AAVE,4,0.0218,,False,unlabeled,high,Empty Nansen label / bare address; unlabeled survivor treated as retail per rule.,False,protocol_contract,gapfill_resolved,Aave LEND-to-AAVE Migrator proxy,False,v4_resolved
AAVE,5,0.016,Upbit: Hot Wallet [0x5a801a],False,exchange,high,"Upbit hot wallet; centralized-exchange custody, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
AAVE,6,0.0156,Coinbase Prime: Custody Wallet [0x45292a],False,exchange,high,"Coinbase Prime custody wallet; CEX institutional custody, not project-controlled.",False,exchange,v4_reviewed,,False,v4_resolved
AAVE,7,0.0146,,False,unlabeled,high,Empty Nansen label / bare address; unlabeled survivor treated as retail per rule.,False,unlabeled,v4_reviewed,,False,v4_resolved
AAVE,8,0.0138,,False,unlabeled,high,Empty Nansen label / bare address; unlabeled survivor treated as retail per rule.,False,unlabeled,v4_reviewed,,False,v4_resolved
AAVE,9,0.0137,Coinbase Prime: Custody Wallet [0x0e240e],False,exchange,high,"Coinbase Prime custody wallet; CEX institutional custody, not project-controlled.",False,exchange,v4_reviewed,,False,v4_resolved
AAVE,10,0.013,Token Millionaire [0x6e9ddc],False,retail,high,"Nansen behavioral 'Token Millionaire' label denotes a large individual holder; retail, no project tie.",False,retail,v4_reviewed,,False,v4_resolved
ANYONE,1,0.0324,Uniswap: V3 WETH-ANYONE (1%) Liquidity Pool [0xc593fe],False,lp,high,"Uniswap V3 AMM liquidity pool for the WETH-ANYONE pair; DEX LP contract, not team-controlled.",False,lp,v4_reviewed,,False,v4_resolved
ANYONE,2,0.0293,ANYONE: ANYONE Relay Rewards 2 [0x1ef7a8],False,protocol_contract,high,"DePIN relay-reward distributor contract (rewards paid to relay operators); reward/distributor contract class, not insider per rule.",False,protocol_contract,v4_reviewed,,False,v4_resolved
ANYONE,3,0.0293,Anyone: Relay Rewards 3 [0x50e6d8],False,protocol_contract,high,"Relay-reward distributor contract for the ANYONE DePIN network; distributor class, not insider.",False,protocol_contract,v4_reviewed,,False,v4_resolved
ANYONE,4,0.0293,Anyone: ANYONE Relay Rewards 4 [0xd19eab],False,protocol_contract,high,"Relay-reward distributor contract for the ANYONE DePIN network; distributor class, not insider.",False,protocol_contract,v4_reviewed,,False,v4_resolved
ANYONE,5,0.0182,Coinspot: 0xeed [0xeed86b],False,exchange,high,"Coinspot centralized exchange wallet; CEX custody, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
ANYONE,6,0.0152,Vesting [0xe8fdfb],True,vesting,high,Vesting contract holds locked team/investor/founder allocation; vesting contracts are insider per rule.,True,vesting,v4_reviewed,,True,v4_resolved
ANYONE,7,0.015,KuCoin: Wallet [0x446b86],False,exchange,high,"KuCoin centralized exchange wallet; CEX custody, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
ANYONE,8,0.0143,Becker: Former Smart Trader [0x9da8bf],False,retail,high,"Named individual trader (Former Smart Trader); retail/trader, no protocol tie, not insider.",False,retail,v4_reviewed,,False,v4_resolved
ANYONE,9,0.0129,KuCoin: Deposit [0xaa10db],False,exchange,high,"KuCoin centralized exchange deposit address; CEX custody, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
ANYONE,10,0.0127,ANyONe Protocol: ANYONE Bridge [0xaa469f],False,protocol_contract,high,"ANYONE Protocol bridge contract; cross-chain bridge infrastructure, not insider per rule.",False,protocol_contract,v4_reviewed,,False,v4_resolved
ARB,1,0.0525,Upbit: Exchange,False,exchange,high,"Upbit is a major Korean centralized exchange; exchange hot/custody wallet, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
ARB,2,0.0133,Coinbase: Deposit,False,exchange,high,"Coinbase CEX deposit wallet; exchange custody, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
ARB,3,0.0128,Lightspeed: Fund,True,investor,medium,Named venture/investment fund (Lightspeed) holding ARB; project-investor class -> insider.,True,investor,v4_reviewed,,True,v4_resolved
ARB,4,0.01,Bybit,False,exchange,high,Bybit centralized exchange wallet; not insider.,False,exchange,v4_reviewed,,False,v4_resolved
ARB,5,0.0095,BTCTurk,False,exchange,high,"BTCTurk is a Turkish centralized exchange; exchange custody, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
ARB,6,0.0081,Bithumb: Wallet,False,exchange,high,"Bithumb is a major Korean centralized exchange; exchange wallet, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
ARB,7,0.0078,Binance: Wallet,False,exchange,high,Binance centralized exchange wallet; not insider.,False,exchange,v4_reviewed,,False,v4_resolved
ARB,8,0.0078,Coinbase Prime: Deposit,False,exchange,high,"Coinbase Prime institutional custody/deposit wallet; exchange, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
ARB,9,0.0077,Coinbase: Deposit,False,exchange,high,"Coinbase CEX deposit wallet; exchange custody, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
ARB,10,0.0075,,False,unlabeled,medium,"Empty label / unmatched bare address; unlabeled survivor treated as retail, not insider.",False,unlabeled,v4_reviewed,,False,v4_resolved
ATH,1,0.0618,Upbit: Internal Wallet [0xaf8dcd],False,exchange,high,"Upbit is a Korean centralized exchange; internal wallet is exchange-operated custody, not project-controlled.",False,exchange,v4_reviewed,,False,v4_resolved
ATH,2,0.0576,Token Millionaire [0x5a4a88],False,retail,high,Nansen heuristic label for a large individual holder with no project tie; retail.,False,retail,v4_reviewed,,False,v4_resolved
ATH,3,0.0386,Aethir [0x33548d],True,treasury,medium,Bare project-name label (Aethir = ATH issuer); Nansen attributes the bare protocol name to team/treasury-controlled wallets.,True,insider,gapfill_resolved,Aethir project-labeled wallet,True,v4_resolved
ATH,4,0.0158,Bybit [0x651641],False,exchange,high,"Bybit is a centralized exchange; exchange-custodied holdings, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
ATH,5,0.0089,Bithumb: Deposit [0x871490],False,exchange,high,"Bithumb is a Korean CEX; deposit wallet aggregates user deposits, exchange-operated.",False,exchange,v4_reviewed,,False,v4_resolved
ATH,6,0.0075,MerkleVester [0xe60e21],True,vesting,high,"Merkle-based vesting distribution contract; locked/vesting team-or-investor allocation, insider.",True,vesting,v4_reviewed,,True,v4_resolved
ATH,7,0.007,Coinbase Prime: Custody Wallet [0x4320d0],False,exchange,high,"Coinbase Prime custody wallet is exchange/institutional-custodian operated, not project-controlled.",False,exchange,v4_reviewed,,False,v4_resolved
ATH,8,0.0055,Aethir Token (ATH) Investment Recipient [0xdcba55],True,investor,high,Explicit ATH 'Investment Recipient' label denotes an investor/VC allocation recipient; insider.,True,investor,v4_reviewed,,True,v4_resolved
ATH,9,0.0047,Aethir Token (ATH) Investment Recipient [0x5f4cac],True,investor,high,"Second explicit ATH 'Investment Recipient' wallet; investor allocation recipient, insider.",True,investor,v4_reviewed,,True,v4_resolved
ATH,10,0.0042,Token Millionaire [0x5d55d7],False,retail,high,Nansen heuristic large-holder label with no project tie; retail.,False,retail,v4_reviewed,,False,v4_resolved
AXL,1,0.0335,Bybit: Hot Wallet [0xf42aac],False,exchange,high,"Bybit centralized-exchange hot wallet; CEX custody, not protocol insider.",False,exchange,v4_reviewed,,False,v4_resolved
AXL,2,0.0287,High Balance [0xfcac18],False,retail,medium,Generic Nansen behavioral whale label with no protocol tie; classified retail per unlabeled-whale rule.,False,retail,v4_reviewed,,False,v4_resolved
AXL,3,0.021,CoinList [0xd1669a],False,exchange,medium,"CoinList launchpad/custodial platform holding sale-participant tokens; custodial exchange, not team treasury.",False,exchange,v4_reviewed,,False,v4_resolved
AXL,4,0.0139,Paribu [0xc80afd],False,exchange,high,"Paribu Turkish centralized exchange; CEX custody, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
AXL,5,0.0134,,False,unlabeled,high,"Empty label / bare hex; unlabeled, treated as retail, not insider.",False,unlabeled,v4_reviewed,,False,v4_resolved
AXL,6,0.0107,TokenManagerProxy [0x05e9c5],False,protocol_contract,medium,"Axelar Interchain Token Service TokenManager proxy; bridge lock/mint system contract custodying interchain supply, not team-controlled treasury.",False,protocol_contract,v4_reviewed,,False,v4_resolved
AXL,7,0.0094,Coinbase Prime: Custody Wallet [0x0431e3],False,exchange,high,"Coinbase Prime custody wallet; CEX custodial, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
AXL,8,0.009,Kraken [0x7dafba],False,exchange,high,"Kraken centralized exchange; CEX custody, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
AXL,9,0.0079,Kraken [0xd2dd7b],False,exchange,high,"Kraken centralized exchange; CEX custody, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
AXL,10,0.0076,Bitvavo: Hot Wallet [0xab782b],False,exchange,high,"Bitvavo Dutch centralized-exchange hot wallet; CEX custody, not insider.",False,exchange,v4_reviewed,,False,v4_resolved
