frame_token,rank,share,nansen_label,insider_reviewed,entity_type,confidence,reason
AAVE,1,0.0288,Binance: BSC-pegged Assets [0x47ac0f],False,exchange,high,"Binance BSC-pegged bridge/custody address; centralized exchange, not project-controlled."
AAVE,2,0.0244,,False,unlabeled,high,Empty Nansen label / bare address; unlabeled survivor treated as retail per rule.
AAVE,3,0.0231,Aave: Ecosystem Reserve [0x25f222],True,treasury,high,"Aave Ecosystem Reserve is a protocol-controlled treasury/reserve pool (ecosystem incentives, safety-module rewards); team-controlled insider."
AAVE,4,0.0218,,False,unlabeled,high,Empty Nansen label / bare address; unlabeled survivor treated as retail per rule.
AAVE,5,0.016,Upbit: Hot Wallet [0x5a801a],False,exchange,high,"Upbit hot wallet; centralized-exchange custody, not insider."
AAVE,6,0.0156,Coinbase Prime: Custody Wallet [0x45292a],False,exchange,high,"Coinbase Prime custody wallet; CEX institutional custody, not project-controlled."
AAVE,7,0.0146,,False,unlabeled,high,Empty Nansen label / bare address; unlabeled survivor treated as retail per rule.
AAVE,8,0.0138,,False,unlabeled,high,Empty Nansen label / bare address; unlabeled survivor treated as retail per rule.
AAVE,9,0.0137,Coinbase Prime: Custody Wallet [0x0e240e],False,exchange,high,"Coinbase Prime custody wallet; CEX institutional custody, not project-controlled."
AAVE,10,0.013,Token Millionaire [0x6e9ddc],False,retail,high,"Nansen behavioral 'Token Millionaire' label denotes a large individual holder; retail, no project tie."
ANYONE,1,0.0324,Uniswap: V3 WETH-ANYONE (1%) Liquidity Pool [0xc593fe],False,lp,high,"Uniswap V3 AMM liquidity pool for the WETH-ANYONE pair; DEX LP contract, not team-controlled."
ANYONE,2,0.0293,ANYONE: ANYONE Relay Rewards 2 [0x1ef7a8],False,protocol_contract,high,"DePIN relay-reward distributor contract (rewards paid to relay operators); reward/distributor contract class, not insider per rule."
ANYONE,3,0.0293,Anyone: Relay Rewards 3 [0x50e6d8],False,protocol_contract,high,"Relay-reward distributor contract for the ANYONE DePIN network; distributor class, not insider."
ANYONE,4,0.0293,Anyone: ANYONE Relay Rewards 4 [0xd19eab],False,protocol_contract,high,"Relay-reward distributor contract for the ANYONE DePIN network; distributor class, not insider."
ANYONE,5,0.0182,Coinspot: 0xeed [0xeed86b],False,exchange,high,"Coinspot centralized exchange wallet; CEX custody, not insider."
ANYONE,6,0.0152,Vesting [0xe8fdfb],True,vesting,high,Vesting contract holds locked team/investor/founder allocation; vesting contracts are insider per rule.
ANYONE,7,0.015,KuCoin: Wallet [0x446b86],False,exchange,high,"KuCoin centralized exchange wallet; CEX custody, not insider."
ANYONE,8,0.0143,Becker: Former Smart Trader [0x9da8bf],False,retail,high,"Named individual trader (Former Smart Trader); retail/trader, no protocol tie, not insider."
ANYONE,9,0.0129,KuCoin: Deposit [0xaa10db],False,exchange,high,"KuCoin centralized exchange deposit address; CEX custody, not insider."
ANYONE,10,0.0127,ANyONe Protocol: ANYONE Bridge [0xaa469f],False,protocol_contract,high,"ANYONE Protocol bridge contract; cross-chain bridge infrastructure, not insider per rule."
ARB,1,0.0525,Upbit: Exchange,False,exchange,high,"Upbit is a major Korean centralized exchange; exchange hot/custody wallet, not insider."
ARB,2,0.0133,Coinbase: Deposit,False,exchange,high,"Coinbase CEX deposit wallet; exchange custody, not insider."
ARB,3,0.0128,Lightspeed: Fund,True,investor,medium,Named venture/investment fund (Lightspeed) holding ARB; project-investor class -> insider.
ARB,4,0.01,Bybit,False,exchange,high,Bybit centralized exchange wallet; not insider.
ARB,5,0.0095,BTCTurk,False,exchange,high,"BTCTurk is a Turkish centralized exchange; exchange custody, not insider."
ARB,6,0.0081,Bithumb: Wallet,False,exchange,high,"Bithumb is a major Korean centralized exchange; exchange wallet, not insider."
ARB,7,0.0078,Binance: Wallet,False,exchange,high,Binance centralized exchange wallet; not insider.
ARB,8,0.0078,Coinbase Prime: Deposit,False,exchange,high,"Coinbase Prime institutional custody/deposit wallet; exchange, not insider."
ARB,9,0.0077,Coinbase: Deposit,False,exchange,high,"Coinbase CEX deposit wallet; exchange custody, not insider."
ARB,10,0.0075,,False,unlabeled,medium,"Empty label / unmatched bare address; unlabeled survivor treated as retail, not insider."
ATH,1,0.0618,Upbit: Internal Wallet [0xaf8dcd],False,exchange,high,"Upbit is a Korean centralized exchange; internal wallet is exchange-operated custody, not project-controlled."
ATH,2,0.0576,Token Millionaire [0x5a4a88],False,retail,high,Nansen heuristic label for a large individual holder with no project tie; retail.
ATH,3,0.0386,Aethir [0x33548d],True,treasury,medium,Bare project-name label (Aethir = ATH issuer); Nansen attributes the bare protocol name to team/treasury-controlled wallets.
ATH,4,0.0158,Bybit [0x651641],False,exchange,high,"Bybit is a centralized exchange; exchange-custodied holdings, not insider."
ATH,5,0.0089,Bithumb: Deposit [0x871490],False,exchange,high,"Bithumb is a Korean CEX; deposit wallet aggregates user deposits, exchange-operated."
ATH,6,0.0075,MerkleVester [0xe60e21],True,vesting,high,"Merkle-based vesting distribution contract; locked/vesting team-or-investor allocation, insider."
ATH,7,0.007,Coinbase Prime: Custody Wallet [0x4320d0],False,exchange,high,"Coinbase Prime custody wallet is exchange/institutional-custodian operated, not project-controlled."
ATH,8,0.0055,Aethir Token (ATH) Investment Recipient [0xdcba55],True,investor,high,Explicit ATH 'Investment Recipient' label denotes an investor/VC allocation recipient; insider.
ATH,9,0.0047,Aethir Token (ATH) Investment Recipient [0x5f4cac],True,investor,high,"Second explicit ATH 'Investment Recipient' wallet; investor allocation recipient, insider."
ATH,10,0.0042,Token Millionaire [0x5d55d7],False,retail,high,Nansen heuristic large-holder label with no project tie; retail.
AXL,1,0.0335,Bybit: Hot Wallet [0xf42aac],False,exchange,high,"Bybit centralized-exchange hot wallet; CEX custody, not protocol insider."
AXL,2,0.0287,High Balance [0xfcac18],False,retail,medium,Generic Nansen behavioral whale label with no protocol tie; classified retail per unlabeled-whale rule.
AXL,3,0.021,CoinList [0xd1669a],False,exchange,medium,"CoinList launchpad/custodial platform holding sale-participant tokens; custodial exchange, not team treasury."
AXL,4,0.0139,Paribu [0xc80afd],False,exchange,high,"Paribu Turkish centralized exchange; CEX custody, not insider."
AXL,5,0.0134,,False,unlabeled,high,"Empty label / bare hex; unlabeled, treated as retail, not insider."
AXL,6,0.0107,TokenManagerProxy [0x05e9c5],False,protocol_contract,medium,"Axelar Interchain Token Service TokenManager proxy; bridge lock/mint system contract custodying interchain supply, not team-controlled treasury."
AXL,7,0.0094,Coinbase Prime: Custody Wallet [0x0431e3],False,exchange,high,"Coinbase Prime custody wallet; CEX custodial, not insider."
AXL,8,0.009,Kraken [0x7dafba],False,exchange,high,"Kraken centralized exchange; CEX custody, not insider."
AXL,9,0.0079,Kraken [0xd2dd7b],False,exchange,high,"Kraken centralized exchange; CEX custody, not insider."
AXL,10,0.0076,Bitvavo: Hot Wallet [0xab782b],False,exchange,high,"Bitvavo Dutch centralized-exchange hot wallet; CEX custody, not insider."
BAL,1,0.1189,Paribu [0xc80afd],False,exchange,high,"Paribu is a Turkish centralized exchange; CEX wallet, not a project insider."
BAL,2,0.0551,,False,unlabeled,high,"Empty label, bare address; unlabeled survivor treated as retail."
BAL,3,0.0448,Balancer: Shareholder [0xff0523],True,investor,medium,Nansen 'Balancer:' project-namespace label denoting a Balancer equity Shareholder; project-affiliated insider for the BAL token.
BAL,4,0.0184,,False,unlabeled,high,"Empty label, bare address; unlabeled survivor treated as retail."
BAL,5,0.0136,Token Millionaire [0x91b9e5],False,retail,high,Generic Nansen behavioral label for a large holder with no project tie; explicitly retail per rule.
BAL,6,0.0135,High Balance [0xda6b2a],False,retail,high,"Generic behavioral 'High Balance' label, no project affiliation; retail."
BAL,7,0.0132,High Balance [0xd519d5],False,retail,high,"Generic behavioral 'High Balance' label, no project affiliation; retail."
BAL,8,0.0129,High Balance [0xbb1905],False,retail,high,"Generic behavioral 'High Balance' label, no project affiliation; retail."
BAL,9,0.0126,Token Millionaire [0xe08a8b],False,retail,high,"Generic Nansen behavioral large-holder label, no project tie; retail."
BAL,10,0.0126,High Balance [0x1c39ba],False,retail,high,"Generic behavioral 'High Balance' label, no project affiliation; retail."
COMP,1,0.0274,Robinhood: Hot Wallet [0x841ed6],False,exchange,high,"Robinhood CEX hot wallet; centralized exchange custody, not project-controlled."
COMP,2,0.026,,False,unlabeled,high,"Empty Nansen label / bare address; unlabeled survivor, treated as retail."
COMP,3,0.0203,Coinbase Prime: Custody Wallet [0x4290cd],False,exchange,high,"Coinbase Prime custody wallet; CEX custody, not insider."
COMP,4,0.0173,,False,unlabeled,high,"Empty Nansen label / bare address; unlabeled survivor, treated as retail."
COMP,5,0.0152,Compound: COMP Multisig [0xeb6332],True,multisig,high,"Compound protocol team multisig; team-controlled COMP, insider."
COMP,6,0.0131,Compound: COMP Distributor [0xc78e14],False,protocol_contract,high,"COMP distributor/reward contract; protocol distribution mechanism, not a team holding."
COMP,7,0.0121,Bybit [0x6522b7],False,exchange,high,"Bybit CEX wallet; centralized exchange, not insider."
COMP,8,0.0115,Geoffrey Hayes [0x3e0f52],True,founder,high,"Geoffrey Hayes is a Compound Labs co-founder/lead engineer; named protocol founder, insider."
COMP,9,0.0114,Sablier: Vesting [0x7c01aa],True,vesting,medium,"Sablier vesting contract holding COMP; vesting/grant allocation classified insider, though exact beneficiary not confirmed from label."
COMP,10,0.0114,Binance: BSC-pegged Assets [0x47ac0f],False,exchange,high,"Binance BSC-peg/bridge custody wallet; CEX-operated, not insider."
CRV,1,0.0306,Token Millionaire [0x72402c],False,retail,high,Token Millionaire is an explicit retail behavioral label with no project tie.
CRV,2,0.0204,Kraken: Hot Wallet [0xbe7be7],False,exchange,high,"Kraken hot wallet is a centralized-exchange custody address, not a protocol insider."
CRV,3,0.0153,OKX: Deposit [0x611f7b],False,exchange,high,"OKX deposit address is a centralized-exchange wallet, not an insider."
CRV,4,0.0152,Luno: Wallet [0x3a5cc8],False,exchange,high,"Luno is a centralized exchange; its wallet is exchange custody, not a protocol insider."
CRV,5,0.0126,Kraken [0xd2dd7b],False,exchange,high,"Kraken-labeled address is a centralized-exchange wallet, not an insider."
CRV,6,0.0123,Kraken [0x7dafba],False,exchange,high,"Kraken-labeled address is a centralized-exchange wallet, not an insider."
CRV,7,0.0111,eToro: Wallet [0x77fb35],False,exchange,high,"eToro is a centralized broker/exchange; its wallet is exchange custody, not a protocol insider."
CRV,8,0.0101,Bybit: Hot Wallet [0x8fa129],False,exchange,high,"Bybit hot wallet is a centralized-exchange custody address, not an insider."
CRV,9,0.0099,Passive Holder [0x5dc612],False,retail,high,Passive Holder is a generic behavioral label with no protocol/team tie; retail.
CRV,10,0.0071,Bybit [0x88a149],False,exchange,high,"Bybit-labeled address is a centralized-exchange wallet, not an insider."
DIMO,1,0.0241,Multisig [0xccfa7c],True,multisig,low,Bare unattributed multisig (no protocol name / no known owner); multisig is team-controlled per rule but attribution is missing.
DIMO,2,0.0225,,False,unlabeled,high,"Empty label; unlabeled bare address treated as retail, not insider."
DIMO,3,0.0158,[0x3ace81],False,unlabeled,medium,"Bracketed bare hex address with no Nansen label; unlabeled, no project tie -> retail."
DIMO,4,0.0157,Gnosis Safe Proxy [0x62b98e],True,multisig,low,"Gnosis Safe Proxy but bare/unattributed (no protocol owner); Safe is team-controlled per rule, attribution missing."
DIMO,5,0.0148,[0x0daf06],False,unlabeled,medium,"Bracketed bare hex address, no Nansen label; unlabeled -> retail."
DIMO,6,0.0147,[0x7b3d49],False,unlabeled,medium,"Bracketed bare hex address, no Nansen label; unlabeled -> retail."
DIMO,7,0.0137,[0xc20d25],False,unlabeled,medium,"Bracketed bare hex address, no Nansen label; unlabeled -> retail."
DIMO,8,0.0137,Gnosis Safe Proxy [0xced3c9],True,multisig,low,"Gnosis Safe Proxy but bare/unattributed (no protocol owner); Safe is team-controlled per rule, attribution missing."
DIMO,9,0.0132,[0x597a1d],False,unlabeled,medium,"Bracketed bare hex address, no Nansen label; unlabeled -> retail."
DIMO,10,0.0132,[0xe2c966],False,unlabeled,medium,"Bracketed bare hex address, no Nansen label; unlabeled -> retail."
