token,best_dashboard_or_query,query_id,verified_note,covers,mainloop_verified_dashboard,fallback
RENDER,https://dune.com/tobiases/render-emission-breakdown,,,emissions|rewards|inflation|burns,dune.com/pyor_xyz/render-network (analyst PYOR),"If a hosted dashboard is insufficient, build it directly on Dune from tokens_solana.transfers (the same base table all the above queries use). EMISSION/MINT side: SELECT date_trunc('month', tr.block_t"
IO,https://dune.com/ionet/ionettokeneconomicactivity,,,emissions|unlocks|burns|staking|revenue|supply,dune.com/cryptokoryo/ionet (analyst),"Not needed (official per-period series exist), but to build directly: IO is a Solana SPL token (mint BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K). For realized on-chain BURNS, query Dune tokens_solan"
WXM,https://dune.com/weatherxm/network-stats,,,emissions|burns|revenue,dune.com/weatherxm/network-stats (OFFICIAL),"No existing widget presents a per-period emitted/burned WXM series, so build it directly from the on-chain tables the official dashboard already uses (Arbitrum). EMISSIONS (station rewards): SELECT da"
LPT,https://dune.com/queries/1137991,1137991,pre-existing Livepeer Reward Events (verified),emissions|rewards|inflation,dune.com/larry/livepeer (analyst),No Livepeer-team-owned (official-handle) dashboard exists; all candidates are community/analyst-built (stronk and y.fu are the recognized Livepeer analysts). The single cleanest build input is query 1
POKT,https://dune.com/queries/4026824,4026824,,burns|supply|other,dune.com/frytos/Pocket-Network,"No Dune dashboard yields TRUE native POKT emission because Dune does not index the Pocket Network appchain. Native POKT minting-per-relay, inflation, and burns happen on Pocket Network's own Cosmos/Te"
IOTX,https://dune.com/queries/6933265,6933265,,emissions|burns|revenue,dune.com/iotex_devrel/iotex (OFFICIAL team),"No Dune dashboard yields a true per-period IOTX EMISSION (burn-drop) or staking-reward series, and the existing Ethereum-side mint/burn queries (own team 6933265/6933321) capture near-zero of the real"
ANYONE,none found,,,emissions|burns|revenue,dune.com/anyoneprotocol/network (OFFICIAL),"No pre-built Dune dashboard yields a per-period ANYONE emission/burn token series. The closest (self-owned query 6933263, dune.com/queries/6933263) is a correct mint/burn template but returns 0 rows: "
ALGO,none found,,,,,Dune has NO native Algorand L1 chain data (no algorand.blocks / algorand.transactions / payout or reward tables; only a static cex_algorand.addresses label table and AI-mislabeled queries that actuall
POL,https://dune.com/queries/5966871,5966871,pre-existing POL Staking stats (verified),emissions|rewards|staking|supply|burns|inflation,,"If you skip dashboards and build the per-period series directly, the canonical on-chain source for POL/MATIC validator-incentive emission is the L1 checkpoint-reward event: matic_ethereum.RootChainPro"
HONEY,https://dune.com/pyor_xyz/hivemapper,,,emissions|rewards|burns|revenue|other,dune.com/gabe_hivemapper/hivemapper (OFFICIAL) + pyor_xyz,No protocol-owned dashboard is usable: the official Hivemapper-team handles exist but their dashboards are empty (dune.com/evan_hivemapper/honey has zero widgets; dune.com/gabe_hivemapper/hivemapper h
DIMO,https://dune.com/queries/6346970,6346970,pre-existing DIMO weekly issuance (verified),emissions|rewards|inflation|burns|supply|staking|revenue,dune.com/dimo_network/dimo (OFFICIAL team),"If you need a fresh, fully-controlled per-period series rather than re-running someone's saved query, the decoded Dune table is the build input: createAndExecuteQuery against dimo_rewards_contract_pol"
BONK,https://dune.com/queries/5571873,5571873,,burns|supply,dune.com (community),"If a maintained dashboard is not preferred, build the per-period burn series directly in DuneSQL (no protocol-official Dune handle exists for BONK; all candidates are community/analyst). Canonical pat"
W,none found,,,,dune.com/gjgd/wormhole-tokens,"No Dune dashboard reconstructs a per-period W emission/unlock/vesting/burn token series. Searched dashboards and queries for variants ['wormhole','$W','W token','wormhole staking','wormhole unlock','w"
WLFI,https://dune.com/smart_ape/wlfi-unlocks-tracker,,,unlocks|emissions|supply|staking,dune.com/jtai/world-liberty-financial (analyst),"No official protocol-owned dashboard exists. To build a per-period unlock/emission/burn series directly: (1) UNLOCKS/EMISSIONS: query the decoded vester Claimed events, SELECT date_trunc('day', evt_bl"
GNO,none found,,,,,"No pre-built Dune dashboard yields a per-period GNO emitted/burned token series, because GNO has essentially no protocol-level emission, inflation, or burn: it is a FIXED-SUPPLY token (10M GNO minted "
MKR,https://dune.com/queries/6816280,6816280,,burns|supply,,"For legacy MKR vs current SKY, pick the matching token. Current Sky-era buyback/burn: replicate bperko query 6816280: dex.trades WHERE token_bought_address = SKY (0x56072C95FAA701256059aa122697B133aDE"
META,https://dune.com/queries/4121914,4121914,,emissions|burns|supply,,"If query 4121914 is unavailable, rebuild trivially with DuneSQL: SELECT DATE_TRUNC('day', block_time) AS dt, action, SUM(TRY_CAST(amount AS DECIMAL(38,0)))/1e9 AS amount FROM tokens_solana.transfers W"
